Name,id,Status,Source,Last Updated,Address,Zip Code,Phone,Email,Website/Social Media,Neighborhood,Category,Pod,Latitude,Longitude,Special Accommodation Hours,SNAP/EBT,WIC,Pickup Offered,Delivery Offered,Delivery/Pickup Notes,Notes,Donate,Created time,Sub-Category,Hours,Hours - Obsolete,Admin Notes
Carmine's Pizza,74,Open,,5/2/2020,356-358 Graham Ave.,11211,(718) 782-9659,,https://www.instagram.com/carminespizzeria/,East Williamsburg,Restaurant,18,40.714988,-73.944138,,,,Yes,Yes,,"Have DIY Pizza kits! Each kit includes a 16 "" pizza dough, tomato sauce, mozzarella, sliced pepperoni, bottle of wine, $22. You can pre order at cgpizza@aol.com",X,4/29/2020 1:01am,Pizzeria,Daily: 11am-9:30pm,,
Casa Publica,75,Open,,5/3/2020,594 Union Ave.,11211,(718) 388-3555,,https://www.instagram.com/casapublicabk/,North Williamsburg,Restaurant,16,40.718234,-73.951980,,,,Yes,Yes,Delivery via Caviar and Grubhub; For takeout peep the menu on their website and call to order.,,https://www.gofundme.com/f/casa-publica-employee-relief-fund,4/29/2020 1:01am,Mexican,Mon-Fri: 3pm-9pm / Sat-Sun: 12pm-9pm,"3-9pm Mon-Fri, 12-9pm Sat & Sun ",
Celsious,76,Open,Location,4/21/2020,"115 North 7th Street, Brooklyn, NY 11249",11249,(718) 388-1221,comeclean@celsious.com,http://celsious.com/contact/,North Williamsburg,Laundromat,14,40.719050,-73.959230,,,,Yes,No,,,,4/29/2020 12:34am,Cafe,"Mon, Weds, Fri Drop Off: 8am-1pm Pickup: 1pm-5pm","Mon, Wed, Friday - Drop off 8:00 am to 1:00 pm and pick up from 1:00 pm to 5:00 pm",
Central Pharmacy,77,Open,,,"121 Kent Ave, Brooklyn, NY 11249",11249,(929) 397-0331,,,North Williamsburg,Pharmacy,14,40.720081,-73.961723,,,,Yes,Yes,,,,4/29/2020 12:34am,,Mon-Thu: 9am-7pm / Fri: 9am-6pm / Sat-Sun: 9am-3pm,"9-7 m-th, f 9-6, sat & sun 9-3 ",
Cerveceria Havemeyer,78,Open,,5/3/2020,149 Havemeyer St.,11211,(718) 599-5799,,https://www.instagram.com/cerveceriahavemeyer/,South Williamsburg,Restaurant,,40.711710,-73.957340,,,,Yes,Yes,Delivery via Caviar.,,X,5/3/2020 6:14pm,"Mexican,Bar",Daily: 1pm-9:30pm,,
Champion Coffee Greenpoint,79,Follow-up,,5/3/2020,1107 Manhattan Ave.,11222,(347) 987-3851,,https://www.instagram.com/championcoffee/,Greenpoint,Restaurant,1,40.736298,-73.955589,,,,,,https://www.championcoffee.com/,,X,4/29/2020 1:01am,Cafe,,,
Champion Coffee Greenpoint,80,Follow-up,,5/3/2020,142 Nassau Ave.,11222,(718) 383-3251,,https://www.instagram.com/championcoffee/,Greenpoint,Restaurant,11,40.724632,-73.947640,,,,,,https://www.championcoffee.com/,,X,4/29/2020 1:52am,Cafe,,,
Champion Coffee Williamsburg,81,Follow-up,,5/3/2020,103 N 3rd St.,11249,X,,https://www.instagram.com/championcoffee/,North Williamsburg,Restaurant,14,40.716945,-73.961840,,,,,,https://www.championcoffee.com/,,X,4/29/2020 1:01am,Cafe,,,
Charlotte Patisserie,82,,,4/30/2020,"596 Manhattan Ave, Brooklyn, NY",11222,(718) 383-8313,,charlottepatisserie.com,Greenpoint,Restaurant,12,40.723099,-73.950177,,,,,,,,,5/1/2020 1:56am,"Bakery,Cafe",,,
Cherry Point,83,Closed,,5/3/2020,664 Manhattan Ave,11222,(718) 389-3828,,https://www.instagram.com/cherrypointnyc/,Greenpoint,Restaurant,12,40.724701,-73.951077,,,,,,,"CLOSED, for good.",https://www.gofundme.com/f/emergency-relief-funds-for-cherry-point-staff,4/29/2020 1:01am,American,,,
Chez Ma Tante ,84,Closed,,5/3/2020,90 Calyer St.,11222,(718) 389-3606,,https://www.instagram.com/chez_ma_tante/,Greenpoint,Restaurant,7,40.726880,-73.957593,,,,,,https://www.chezmatantenyc.com/,Donate to Gofundme or buy a shirt at https://www.merch4relief.com/,https://www.gofundme.com/f/chez-ma-tante-employee-fund,4/29/2020 1:01am,French,,,
Citroen,426,Open,Location,5/5/2020,,11222,(718) 734-2220,,https://www.instagram.com/citroenbrooklyn/,Greenpoint,Restaurant,,40.731527,-73.954159,,,,Yes,No,,,https://www.gofundme.com/f/citroen-staff-relief,5/5/2020 10:05pm,"Bar,French",Sat-Sun: 1pm-6pm,,
City Acres,85,Open,,5/1/2020,"11 Broadway, Brooklyn, NY 11249",11249,(347) 987-3740,,,South Williamsburg,Grocery Store - Supermarket,28,40.711267,-73.967991,,,,No,No,,,,4/29/2020 12:34am,,Daily: 7am-9pm,7-9 daily,
City Chemist,86,Open,,,"335 Graham Ave #3734, Brooklyn, NY 11211",11211,(718) 387-0124,,https://www.city-chemist.com/long-island-city,South Williamsburg,Pharmacy,25,40.714361,-73.944643,,,,Yes,Yes,,Full operation. The URL for the site is wrong. Says LIC but is for the Williamsburg location.,,4/29/2020 12:34am,,Mon-Fri: 9am-8pm / Sat: 10am-7pm / Sun: 10am-5pm,m-f 9-8 sat 10-7 sun 10-5,
City Fresh,87,Open,,5/1/2020,"57 Kingsland Avenue, Brooklyn, NY 11211",11211,(718) 389-6725,,,East Williamsburg,Grocery Store - Supermarket,18,40.717946,-73.940645,,,,Yes,Yes,,,,4/29/2020 12:34am,,Mon-Fri: 7am-7pm / Sat-Sun: 8am-7pm,"m-f 7-7, sat - sun 8-7",
CityMD,88,Open,Website (Covid-19 updates),5/1/2020,"795 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 489-3549,,citymd.com,Greenpoint,Health and Wellness,7,40.727622,-73.953298,,,,,,,,,5/1/2020 11:13pm,,Daily: 8am-8pm,8am-8pm,
CityMD,89,Open,Website (Covid updates),5/1/2020,"154 North 7th St., Brooklyn, NY 11249",11249,(718) 414-2013,,citymd.com,North Williamsburg,Health and Wellness,15,40.717920,-73.958313,,,,,,,,,5/1/2020 11:18pm,,Daily: 8am-8pm,8am-8pm,
Clem's,90,Open (Missing Info),,5/3/2020,"264 Grand St., Brooklyn, NY 11211",11211,(718) 387-9617,,https://www.instagram.com/clems_bar/,South Williamsburg,Bar,27,40.713200,-73.958602,,,,Yes,No,Order drinks and food on their website: https://www.clemsbrooklyn.com/online-ordering/clems/menu,Check IG for more info. https://www.clemsbrooklyn.com/,https://www.gofundme.com/f/federales-and-tips-for-your-bartender,4/29/2020 1:01am,,,,
Coast & Valley,91,Closed,,,587 Manhattan Ave.,11222,(917) 838-7559,,https://www.instagram.com/coastandvalleywine/,Greenpoint,Bar,12,40.722808,-73.950479,,,,,,,,https://www.gofundme.com/f/support-for-the-coast-and-valley-team,4/29/2020 1:01am,,,,
Concord Hill,92,Open,,5/3/2020,374 Graham Ave.,11211,(347) 463-9322,,https://www.instagram.com/concordhillbk/,East Williamsburg,Restaurant,18,40.715577,-73.944308,,,,Yes,Yes,"Call 347-463-9322 to order, to get 15% off all alcoholic beverages","Food and beer, wine, cocktails. Half off select wines daily.",X,4/29/2020 1:01am,American,Daily: 12pm-10pm,12pm-10pm,
Corner Pharmacy,93,Open,,,"166 Division Ave # A, Brooklyn, NY 11211",11211,(718) 599-2771,rx@cornerpharmacyny.com,https://www.cornerpharmacyny.com/,South Williamsburg,Pharmacy,34,40.707349,-73.960919,,,,,,,Called was given limited info,,4/29/2020 12:34am,,Sun-Thurs: 10am-7pm / Fri: 10am-2pm / Sat: Closed,sun-th 10-7 f 10-2 sat cl,
Crest Hardware & Urban Garden Center,94,Open,Instagram/Website (updated for Covid),5/1/2020,"558 Metropolitan Ave, Brooklyn, NY 11211",11211,(718) 388-9521,Info@cresthardwarenyc.com,https://www.cresthardwarenyc.com/,South Williamsburg,Hardware Store,25,40.713803,-73.950245,,,,,,,Quimby's Books doing a pop-up here during PAUSE as well; Customers must wear mask & gloves to enter (available for purchase at door for $1),,5/2/2020 2:01am,Gardening,Tues-Sat: 10am-5pm / Sun-Mon: Closed ,"Tues-Sat 10am-5pm, Closed Sun-Mon",
CVS Pharmacy,95,Open,,,"27 N 6th St, Brooklyn, NY 11249",11249,(718) 388-2799,,,North Williamsburg,Pharmacy,14,40.720127,-73.962426,Weds: 9am-10am for Seniors and Immunocompromised,,,Yes,Yes,Delivery through CVS website,,,4/29/2020 12:34am,,Mon-Fri: 8am-6pm / Sat: 9am-6pm / Sun: 9am-6pm,m-f 8-6 sat 9-6 Sun 9-6,
CVS Pharmacy,96,Open,,,"859 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 389-2403,,,Greenpoint,Pharmacy,6,40.729196,-73.954122,Weds: 9am-10am for Seniors and Immunocompromised,,,Yes,Yes,Delivery through CVS website,,,4/29/2020 12:34am,,Mon-Fri: 9am-6pm / Sat: 10am-6pm / Sun: 10am-6pm,M-F 9-6 Sat 10-6 Sun 10-6,
D & J Grocery Store,97,,,,"927 Grand St, Brooklyn, NY 11211",11211,(718) 963-0934,,,East Williamsburg,Grocery Store,20,40.712987,-73.937177,,,,,,,,,5/1/2020 5:30pm,,,,
Dana's Bakery,98,Open (Missing Info),,5/3/2020,"103 N 3rd St, Brooklyn, NY ",11249,(800) 477-1816,,danasbakery.com,North Williamsburg,Restaurant,14,40.716945,-73.961840,,,,,,,,,5/1/2020 4:38am,Bakery,,,
Dar525 Greenpoint,99,Open,,,168 Driggs Ave.,11222,(718) 389-0003,,https://www.instagram.com/dar525,Greenpoint,Restaurant,11,40.723205,-73.945326,,,,Yes,Yes,Delivery/take-out via Seamless.,,X,4/29/2020 1:01am,Middle Eastern,Daily: 11am-11pm,11am-11pm,
Dar525 Williamsburg,100,Open,,,525 Grand St.,11211,(347) 422-0401,,https://www.instagram.com/dar525,South Williamsburg,Restaurant,25,40.711214,-73.950281,,,,Yes,Yes,,,X,4/29/2020 1:01am,Middle Eastern,Daily: 11am-11pm,11am-11pm,
Depanneur,101,Open,Location,5/1/2020,"242 Wythe Ave., Brooklyn, NY 11249",11249,(347) 227-8424,,https://www.instagram.com/depanneurbklyn/,North Williamsburg,Restaurant,14,40.717643,-73.963052,,,,Yes,Yes,"Delivery, takeout & groceries. https://www.depanneur.com/",5 customers inside max at a time,X,4/29/2020 1:01am,"Grocery Store,Cafe",Daily: 8am-6pm,8am-6pm,
Devocion,102,Open,,5/3/2020,69 Grand Street,11211,(718) 285-6180,,https://www.instagram.com/devocionusa/,South Williamsburg,Restaurant,,40.715990,-73.964960,,,,Yes,No,Pre-order online or order when you arrive: https://devocion.square.site/,,X,5/3/2020 6:22pm,Cafe,Daily: 10am-4pm,,
Di An Di,103,Open,,5/2/2020,68 Greenpoint Ave.,11222,(718) 576-3914,,https://www.instagram.com/diandi.nyc/,Greenpoint,Restaurant,6,40.729575,-73.958254,,,,Yes,Yes,Delivery & pickup available here - https://www.toasttab.com/di-an-di/v3,,https://www.gofundme.com/f/support-for-the-dad-family,4/29/2020 1:01am,Vietnamese,Tues-Sun: 12pm-10pm,,
Diamond Lil,104,Open (Missing Info),Location,4/30/2020,179 Nassau Ave.,11222,X,,https://www.instagram.com/diamondlilbar,Greenpoint,Bar,11,40.725479,-73.946127,,,,Yes,No,To-go window open. Large format cocktails serves 4 or 5 people (some are freezer ready). Also selling beer and wine (3 glasses for $15). Place your order via IG or stop by.,,Staff Venmo/tips: send money to @diamondlilstaff,4/29/2020 1:01am,Bar,Fri-Sun: 3pm-8pm,Fri-Sun 4pm-8pm,
Different Spokes,105,,,,"252 S 4th St, Brooklyn, NY 11211",11211,(718) 302-2453,,instagram.com/differentspokesny,South Williamsburg,Bike Shops,29,40.709917,-73.958033,,,,,,,,,4/29/2020 12:34am,,,,
District Dog,106,Open,Location,4/21/2020,"144 Driggs Avenue, Brooklyn, NY 11222",11222,(718) 290-7434,None,www.districtdog.com,Greenpoint,Pet Supplies,10,40.723208,-73.944332,,,,Yes,Yes,Delivery through Postmates,Curbside Pickup Only,,4/29/2020 12:34am,,Daily: 12pm-5pm,12-5pm (curbside pickup),
DNG Pharmacy,107,No Answer,,,"249 Graham Ave, Brooklyn, NY 11206",11206,(718) 384-6630,,,South Williamsburg,Pharmacy,25,40.711000,-73.944020,,,,,,,,,4/29/2020 12:34am,,,,
Dolly’s,108,Closed,Location,5/1/2020,"101 Kent Avenue, Brooklyn NY",11249,,,https://www.instagram.com/dollysbk/?hl=en,North Williamsburg,Bar,14,40.720668,-73.961027,,,,,,,,,5/1/2020 9:34pm,,,,
Dough Vale,109,Open,,,330 S 3rd St,11211,(347) 889-7400,,https://www.instagram.com/doughvale.restaurant/,South Williamsburg,Restaurant,26,40.709253,-73.954114,,,,Yes,Yes,Takeout & delivery on Caviar,,X,4/29/2020 1:01am,Bakery,Daily: 2pm-10pm,Mon-Sun 2pm-10pm,
Downtown Market (formerly The Garden),110,Open,Location,5/1/2020,"921 Manhattan Avenue, Brooklyn, NY 11222",11222,(718) 349-2376,917greenpointdowntownmktpl@gmail.com,,Greenpoint,Grocery Store - Supermarket,4,40.730765,-73.954647,,,,,,,,,4/29/2020 12:34am,,Daily: 9:30am-5:30pm,9:30am-5:30pm daily,
Driggs Ave. Laundromat & Dry Cleaners,111,Open,Location,4/22/2020,"258 Driggs Avenue, Brooklyn, NY 11222",11222,(718) 389-2830,,,Greenpoint,Laundromat,11,40.722851,-73.948090,,,,No,No,,,,4/29/2020 12:34am,,Daily: 7am-6pm,M - S 7:00 am to 6:00 pm,
Duane Reade Pharmacy,112,Open,,,"893 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 389-6440,,,Greenpoint,Pharmacy,6,40.729996,-73.954437,Tues: 8am-9am for Senior,,,Yes,Yes,Delivery through website.,,,4/29/2020 12:34am,,PHARMACY: Mon-Fri: 9am-6pm / Sat: 9am-6pm / Sun: 9am-6pm STORE: Mon: 9am-9pm / Tues: 8am-9pm / Weds-Fri: 9am-9pm / Sat-Sun: 9am-6pm,Store: M 9-9 T 8-9 W - F 9-9  Sat & Sun 9-6,
Duane Reade Pharmacy,113,Open,,,"250 Bedford Ave, Brooklyn, NY 11249",11249,(718) 384-7026,,,North Williamsburg,Pharmacy,15,40.715857,-73.960200,Tues: 8am-9am for Senior,,,Yes,Yes,Delivery through website.,,,4/29/2020 12:34am,,PHARMACY: Mon-Fri: 9am-8pm / Sat: 9am-6pm / Sun: 10am-5pm STORE: Mon: 9am-9pm / Tues: 8am-9pm / Weds-Sun: 9am-9pm,,
Duane Reade Pharmacy,114,Open,,5/1/2020,"164 Kent Ave, Brooklyn, NY 11249",11249,(718) 302-1549,,,North Williamsburg,Pharmacy,14,40.719141,-73.963481,Tues: 8am-9am for Senior,,,Yes,Yes,Delivery through website,,,4/29/2020 12:34am,,PHARMACY: Mon-Fri: 9am-9pm / Sat: 9am-7pm / Sun: 10am-7pm STORE: Mon:9am-9pm / Tues: 8am-9pm / Weds-Sun: 9am-9pm,,
Dunkin' Donuts,115,Open (Missing Info),,5/2/2020,"643 Manhattan Avenue, Brooklyn, NY 11222",11222,(718) 472-3745,,dunkindonuts.com,Greenpoint,Restaurant,12,40.724083,-73.951255,,,,,,,,,4/30/2020 7:04pm,Bakery,Daily: 6am-10pm,,
Dunkin' Donuts ,116,Open (Missing Info),,5/2/2020,"893 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 383-2519,,dunkindonuts.com,Greenpoint,Restaurant,6,40.729996,-73.954437,,,,,,,,,4/30/2020 5:53am,Bakery,Daily: 7am-4pm,,
Eagle Trading Company,117,Open (Missing Info),,,258 Franklin St.,11222,(718) 576-3217,,https://www.instagram.com/eagletradingco/,Greenpoint,Restaurant,2,40.734978,-73.958174,,,,Yes,Yes,Call/Seamless/Grubhub for takeout and delivery,,X,4/29/2020 1:01am,Cafe,,,
Early,118,Open,,5/3/2020,967 Manhattan Ave.,11222,(718) 383-6963,,https://www.instagram.com/early.bk/,Greenpoint,Restaurant,,40.732150,-73.954800,,,,Yes,Yes,Delivery via Seamless & Grubhub.,,,5/3/2020 6:29pm,Cafe,Daily: 8am-2pm,,
Eastern District ,119,Open,,5/2/2020,1053 Manhattan Ave. ,11222,(718) 349-1432,info@easterndistrictny.com,https://www.instagram.com/eastrict/,Greenpoint,Restaurant,2,40.734741,-73.955304,,,,Yes,Yes,"Order cheese, meat, groceries online or call. For next day delivery UberEats/Grubhub. Sandwiches via UberEats. ",Growler fills are happening! Call or order online.,X,4/29/2020 1:01am,Grocery Store,Mon-Thurs: 11am-8:30pm / Fri-Sat: 11am-9pm / Sun: 11am-7pm,,
Easy Lover,120,Closed,,,"790 Metropolitan Ave., Brooklyn, NY 11211",11211,N/A,,https://www.instagram.com/easyloverbk/,East Williamsburg,Bar,18,40.714494,-73.942528,,,,,,,Download a virtual Zoom background of the bar and donate. https://www.virtualcheers.org/,https://www.gofundme.com/f/easy-lover-staff-relief-fund,4/29/2020 1:01am,,,,
Echo Drugs,121,Open,,,"260 Broadway # 1, Brooklyn, NY 11211",11211,(718) 782-3030,,https://echodrugs.net/,South Williamsburg,Pharmacy,29,40.708806,-73.959459,,,,Yes,Yes,,888-782-3031 possible alt #,,4/29/2020 12:34am,,Mon-Thurs: 9am-7:30pm / Fri: 9am-6pm / Sat: Closed / Sun: 10am-5pm,M-TH 9-7:30 F 9-6 Sat cl Sun 10-5,
Eco dog NYC,122,Open,,4/24/2020,"10 N 5th St., Brooklyn, NY 11249",11249,(718) 218-9326,None,https://ecodognyc.com/,North Williamsburg,Pet Supplies,14,40.719141,-73.963481,,,,,,,"No dog walking
Has a go fund me",,4/29/2020 12:34am,,Mon-Fri: 7:30am-8pm,M-F 7:30 AM - 8 PM,
Edible Bliss Confections,123,,,,"1087 Flushing Ave, Brooklyn, NY ",10021,(917) 774-6270,,,East Williamsburg,Restaurant,23,40.705141,-73.928489,,,,,,,Cake shop/studio,,5/1/2020 4:30am,"Cake Shop,Bakery",,,
Egg,124,Closed,,,109 N 3rd St.,11249,(718) 302-5151,,https://www.instagram.com/eggrestaurant/,North Williamsburg,Restaurant,14,40.716783,-73.961661,,,,,,,,https://www.gofundme.com/f/support-egg-staff,4/29/2020 1:01am,American,,,
El Born,125,Closed,Location/Instagram,5/1/2020,"651 Manhattan Ave., Brooklyn, NY 11222",11222,(347) 844-9295,reservations@elbornnyc.com,https://www.instagram.com/elbornnyc/,Greenpoint,Restaurant,12,40.724315,-73.951342,,,,,,Reopening for pickup/delivery 5/7,Buy a gift card. Email reservations@elbornnyc.com,X,4/29/2020 1:01am,Tapas,Follow up 5/7,Follow up 5/7,
El Cortez,126,Closed,Instagram,5/2/2020,"17 Ingraham St, Brooklyn, NY 11206",11206,(347) 599-2976,events@elcortezbushwick.com,elcortezbushwick.com,East Williamsburg,Bar,21,40.707114,-73.933096,,,,,,,"Order food/drinks from sister bar, The Commodore.",,5/3/2020 4:16am,Restaurant,,,
Elder Green,127,Open,Location,5/5/2020,"60 Franklin St., Brooklyn, NY 11222",11222,(718) 389-0878,,https://www.instagram.com/eldergreenebk/,Greenpoint,Bar,4,40.726866,-73.957017,,,,Yes,Yes,Delivery via Seamless or Grubhub,To-go drinks,https://www.gofundme.com/f/vortex-hospitality-staff-fund,4/29/2020 1:01am,Restaurant,Daily: 12pm-9:30pm,,
Eleva,423,Open,Location,5/3/2020,7 Bell Slip,11222,(646) 789-3114,,https://www.elevagplorders.com/,Greenpoint,Restaurant,,40.736854,-73.958588,,,,Yes,No,Order online or at the store.,,,5/3/2020 7:29pm,Cafe,Daily: 10am-6pm,,
Esme ,128,Closed,,,999 Manhattan Ave.,11222,(718) 383-0999,,https://www.instagram.com/esmebk,Greenpoint,Restaurant,2,40.733191,-73.955024,,,,,,,Please donate or purcase gift cards.,https://www.gofundme.com/f/esme-staff-support-fund-love-not-squalor,4/29/2020 1:01am,American,,,
Euro Chemist,129,Open,,,"669 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 349-6696,,,Greenpoint,Pharmacy,12,40.724670,-73.951597,,,,Yes,Yes,,,,4/29/2020 12:34am,,Mon-Fri: 10am-7pm / Sat: 10am-5pm / Sun: 11am-4pm,"Pharmacy: Mon - Fri 10am – 7pm Sat 10am – 5pm Sun Closed.  Store: Mon - Fri 9am – 7pm, Sat 9:30-5 Sun 11 - 4",
Farmacia Selecta,130,No Answer,,,"88 Seigel St, Brooklyn, NY 11206",11206,(718) 387-2426,,,South Williamsburg,Pharmacy,31,40.704299,-73.943139,,,,,,,,,4/29/2020 12:34am,,,,
FDF Pharmacy,131,No Answer,,,"302 Broadway, Brooklyn, NY 11211",11211,(718) 384-1544,,,South Williamsburg,Pharmacy,29,40.708166,-73.957749,,,,,,,,,4/29/2020 12:34am,,,,
Federoffs,132,Open (Missing Info),,5/3/2020,178 N 10th Street,11211,(347) 384-2222,,https://www.instagram.com/fedoroffssteaks/,North Williamsburg,Restaurant,15,40.718978,-73.955478,,,,,,Delivery or Pick Up https://www.roastporknyc.com/,,,4/29/2020 1:01am,Sandwich,,,
FedEx Ground,133,Follow-up,,,"300 Maspeth Ave, Brooklyn, NY 11211",11211,(800) 463-3339,,https://local.fedex.com/en-us/ny/brooklyn/?cmp=LOC-1001545-4-4-971-1110000-US-US-EN-GPLGRNDTERMINAL,East Williamsburg,Shipping Services/Post Office,19,40.717007,-73.931296,,,,,,,,,4/29/2020 4:14am,,,,
Fette Sau,134,Open,,5/3/2020,354 Metropolitan Ave,11211,(718) 963-3404,fettesaubbq@gmail.com,https://www.instagram.com/fettesaubbq/,South Williamsburg,Restaurant,26,40.713884,-73.956485,,,,Yes,Yes,"Seamless, Grubhub, and Caviar for takeout/delivery.",Open until they run out of food,,4/29/2020 1:52am,Barbecue,Wed-Sun: 1pm-8pm,Wed-Sun 1pm-8pm OR until they run out of food,
Fiction,135,Open (Missing Info),,,"308  Hooper St, Brooklyn, NY 11211",11211,(718) 599-5151,,https://www.instagram.com/fiction.bk/,South Williamsburg,Bar,29,40.707246,-73.953752,,,,,,,"Coffee and alcohol to go, coffee beans 7am - 4pm",virtual tip jar via Venmo,4/29/2020 1:01am,Cafe,,,
Five Leaves ,136,Open,,5/5/2020,18 Bedford Ave.,11222,(718) 383-5345,info@fiveleavesny.com,https://www.instagram.com/fiveleavesny/,Greenpoint,Restaurant,12,40.723736,-73.951642,,,,Yes,Yes,Delivery via Caviar,https://fiveleavesny.com/,https://www.gofundme.com/f/efyg4-five-leaves-employee-fund,4/29/2020 1:01am,"American,Australian",Daily: 12pm-8pm,,
Florama Hardware,137,Open,,5/1/2020,"98 Graham Avenue, Brooklyn NY ",11206,(718) 782-6514,floramahardware@gmail.com,floramahardware.com,East Williamsburg,Hardware Store,31,40.704618,-73.942429,None,,,Yes (Call ahead),No,,,,4/29/2020 12:34am,,Mon-Sat: 8am-5pm / Sun: 11am-6pm,Mon-Sat 8am-5pm Sun 11am-6pm,
Food Story Natural Market,138,,,,"40 Bogart St, Brooklyn, NY 11206",11206,(718) 381-6800,,,East Williamsburg,Grocery Store,22,40.704953,-73.932909,,,,,,,,,5/1/2020 5:22pm,,,,
Foodtown of Williamsburg,139,Open,,5/1/2020,"159 North 3rd Street, Brooklyn, NY 11211",11211,(718) 302-5534,,,North Williamsburg,Grocery Store - Supermarket,15,40.715590,-73.959350,,,,No,Yes,,,,4/29/2020 12:34am,,Daily: 6:30am-Midnight,6:30-12 daily,
Forma Pasta,140,Open,,5/3/2020,14 Bedford Ave.,11222,(718) 349-2009,,https://www.instagram.com/formapasta/,Greenpoint,Restaurant,12,40.723801,-73.951546,,,,Yes,Yes,Delivery and takeout via Caviar,https://www.formapasta.com/,X,4/29/2020 1:01am,Italian,Daily: 12pm-9:30pm,12pm-9:30pm,
Fornino,141,Open,Instagram,5/1/2020,849 Manhattan Ave.,11222,(718) 389-5300,,https://www.instagram.com/forninopizza/,Greenpoint,Restaurant,6,40.728967,-73.953958,,,,Yes,Yes,,20% off first online order. www.fornino.com,X,4/29/2020 1:01am,Pizzeria,Daily: 5pm-9:30pm,5pm-9:30pm,
Fortunato Brothers,142,Open (Missing Info),,5/3/2020,"289 Manhattan Ave, Brooklyn, NY 11211",11211,(718) 387-2281,,fortunatobrothers.com,South Williamsburg,Restaurant,25,40.713758,-73.946187,,,,,,,https://www.instagram.com/fortunatobrosnyc/,,5/1/2020 4:35am,"Bakery,Cafe,Italian",,,
Four Five Six,143,Open,,5/3/2020,199 Richardson Street,11222,(347) 335-0056,,https://www.instagram.com/fourfivesixbkny/,North Williamsburg,Bar,12,40.718980,-73.943460,,,,Yes,Yes,Delivery thru Grubhub & Seamless. Pickup by calling.,Delivery thru Grubhub & Seamless. Pickup by calling 347.335.0056,,4/29/2020 1:52am,"Restaurant,Italian",Tues-Sat: 4pm-10pm,,
Four Horsemen & Daymoves,144,Open,,5/3/2020,295 Grand St.,11211,(718) 599-4900,,https://www.instagram.com/fourhorsemenbk/,South Williamsburg,Bar,26,40.713159,-73.957244,,,,Yes,No,Order online to pick up. https://nextdoorspacebk.com/,"Wine, beer, cocktails, coffee, merch.",https://www.gofundme.com/f/295grandstreet,4/29/2020 1:01am,American,Mon-Fri: 12pm-6pm,,
Frankel's,145,Closed,,5/3/2020,631 Manhattan Ave.,11222,(718) 389-2302,,https://www.instagram.com/frankelsdeli/,Greenpoint,Restaurant,12,40.723826,-73.951047,,,,,,,https://www.frankelsdelicatessen.com/,https://www.gofundme.com/f/bernie039s-amp-frankel039s-family-fund,4/29/2020 1:01am,"Deli,Jewish",,,
Freddy's Food Market,146,Open,,,"257 Driggs Avenue, Brooklyn, NY 11222",11222,(718) 302-5200,,,Greenpoint,Grocery Store,12,40.722319,-73.947894,,,,,No,"Order online, select items: https://www.freddysfoodmarket.com/",,,4/29/2020 12:34am,Grocery Store,Daily: 8am-Midnight,,
George and Jack’s,147,Open,Location,5/5/2020,"103 Berry St, Brooklyn NY",11211,,,https://www.instagram.com/georgeandjacks/,North Williamsburg,Bar,14,40.719000,-73.958354,,,,Yes,No,,,,5/1/2020 9:24pm,Bar,Thurs-Sun: 1pm-8pm,,
Getaway ,148,Open,Instagram,5/5/2020,"158 Green St., Brooklyn, NY 11222",11222,(929) 337-6025,,https://www.instagram.com/getawaybrooklyn/,Greenpoint,Bar,2,40.733565,-73.955101,,,,Yes,No,Takeout window now open.,Non-alcoholic bar and cafe. Gift Cards https://squareup.com/gift/Q165KGQWER3HC/order ,https://www.gofundme.com/f/getaway-staff-fund,4/29/2020 1:01am,"Bar,Cafe",Daily: 7:30am-12pm,,
Gimme Coffee,149,Closed,,5/3/2020,495 Lorimer St.,11211,(718) 388-7771,,https://www.instagram.com/gimmecoffee/,South Williamsburg,Restaurant,25,40.711693,-73.949251,,,,,,,CLOSED permanently.,Venmo staff tips - @gimmelorimer,4/29/2020 1:01am,Cafe,,,
Glasserie,150,Open,,5/3/2020,95 Commercial St.,11222,(718) 389-0640,,https://www.instagram.com/glasserienyc,Greenpoint,Restaurant,1,40.738237,-73.956587,,,,Yes,Yes,"Minimum $20 delivery, $5 delivery fee. Delivery zone: Greenpoint, Williamsburg, L.I.C., Clinton Hill, DUMBO, Sunnyside. Order on their website.","Order meals, select grocery items, booze.",X,4/29/2020 1:01am,Mediterranean,Daily: 12pm-8:30pm,12pm-8:30pm,
Glickman Houseware and Hardware,151,No Answer,,5/1/2020,"627 Grand Street, Brooklyn NY ",11211,(718) 388-6050,,,East Williamsburg,Hardware Store,25,40.711542,-73.947047,,,,,,,,,4/29/2020 12:34am,,,,
